"voiceless bilabial stop",[p]
"voiced bilabial stop",[b]
"voiceless alveolar stop",[t]
"voiced alveolar stop",[d]
"voiceless velar stop",[k]
"voiced velar stop",[g]
"voiceless glottal stop",[ʔ]
"voiced bilabial nasal",[m]
"voiced alveolar nasal",[n]
"voiced velar nasal",[ŋ]
"voiced alveolar tap",[ɾ]
"voiceless labiodental fricative",[f]
"voiced labiodental fricative",[v]
"voiceless dental fricative",[θ]
"voiced dental fricative",[ð]
"voiceless alveolar fricative",[s]
"voiced alveolar fricative",[z]
"voiceless postalveolar fricative",[ʃ]
"voiced postalveolar fricative",[ʒ]
"voiceless glottal fricative",[h]
"voiced alveolar approximant",[ɹ]
"voiced palatal approximant",[j]
"voiced lateral alveolar approximant",[l]
"voiced labial-velar approximant",[w]
"voiceless affricate",[tʃ]
"voiced affricate",[dʒ]
